gene,drug,approved,interaction_score
ABCA4,DAPIPRAZOLE,True,0.2175158273286897
G6PD,ZINC CHLORIDE,True,0.2088151942355421
G6PD,DIMERCAPROL,True,0.2088151942355421
G6PD,ROPIVACAINE,True,0.2088151942355421
E2F1,ASCORBIC ACID,True,0.2077074213218257
CACNA1H,OXATOMIDE,True,0.2023403044918043
CACNA1H,NAFTOPIDIL,True,0.2023403044918043
G6PD,SULFAMETHOXAZOLE,True,0.1864421377103055
ABCA4,METHOXAMINE,True,0.1812631894405747
G6PD,NORETHINDRONE ACETATE,True,0.1740126618629517
G6PD,SULFAMETHAZINE,True,0.1740126618629517
G6PD,NITROFURAZONE,True,0.1740126618629517
G6PD,FURAZOLIDONE,True,0.1740126618629517
CACNA1H,MIBEFRADIL DIHYDROCHLORIDE,True,0.1734345467072609
TGFBR3,DEXAMETHASONE,True,0.1535405839967221
G6PD,GLIPIZIDE,True,0.1491537101682443
G6PD,SUCCIMER,True,0.1491537101682443
G6PD,TOLAZAMIDE,True,0.1491537101682443
TGFBR3,TRETINOIN,True,0.1434170290079272
E2F1,ARGIPRESSIN,True,0.1384716142145504
G6PD,GLIMEPIRIDE,True,0.1305094963972138
G6PD,TOLBUTAMIDE,True,0.1305094963972138
G6PD,NORFLOXACIN,True,0.1305094963972138
G6PD,MOXIFLOXACIN,True,0.1305094963972138
ABCA4,TAMSULOSIN HYDROCHLORIDE,True,0.1208421262937165
ABCA4,ALFUZOSIN,True,0.1208421262937165
G6PD,QUININE,True,0.1204703043666589
G6PD,ATAZANAVIR,True,0.1160084412419678
CACNA1H,LAMOTRIGINE,True,0.1103674388137114
E2F1,DIETHYLSTILBESTROL,True,0.1090988475629791
G6PD,GLYBURIDE,True,0.1080078590873493
G6PD,GLICLAZIDE,True,0.104407597117771
ABCA4,PHENOXYBENZAMINE,True,0.09887083060394987
G6PD,PRILOCAINE,True,0.09491599737979188
G6PD,CIPROFLOXACIN,True,0.09491599737979188
G6PD,PROGESTIN,True,0.09491599737979188
G6PD,CEFTRIAXONE,True,0.09491599737979188
G6PD,CARMUSTINE,True,0.09491599737979188
G6PD,CHLORPROPAMIDE,True,0.09491599737979188
E2F1,ETOPOSIDE,True,0.09311022335116324
ABCA4,DOXAZOSIN MESYLATE,True,0.09063159472028738
ABCA4,CYPROHEPTADINE HYDROCHLORIDE,True,0.09063159472028738
G6PD,PERINDOPRIL,True,0.08700633093147589
ABCA4,TERAZOSIN,True,0.08365993358795759
ABCA4,CLONIDINE HYDROCHLORIDE,True,0.08365993358795759
G6PD,CHLOROPROCAINE,True,0.0803135362444393
G6PD,ASCORBIC ACID,True,0.0803135362444393
E2F1,NICOTINE POLACRILEX,True,0.07826656455605027
E2F1,ESTRADIOL VALERATE,True,0.07660131850166622
G6PD,METOCLOPRAMIDE HYDROCHLORIDE,True,0.07457685508412219
ABCA4,PHENTOLAMINE,True,0.07250527577622991
ABCA4,PRAZOSIN,True,0.07250527577622991
ABCA4,PHENYLEPHRINE,True,0.06797369604021554
G6PD,MEPIVACAINE HYDROCHLORIDE,True,0.06525474819860692
G6PD,SULFASALAZINE,True,0.06525474819860692
G6PD,MELOXICAM,True,0.06525474819860692
ABCA4,LABETALOL,True,0.06042106314685825
G6PD,DABRAFENIB,True,0.05800422062098393
G6PD,VITAMIN K,True,0.05800422062098392
E2F1,IRINOTECAN HYDROCHLORIDE,True,0.05714701539013194
G6PD,BUSULFAN,True,0.05495136690409003
ABCA4,OXYMETAZOLINE HYDROCHLORIDE,True,0.05437895683217243
G6PD,FLUTAMIDE,True,0.05220379855888553
CACNA1H,ZONISAMIDE,True,0.04856167307803304
G6PD,DAPSONE,True,0.04745799868989594
G6PD,PROBENECID,True,0.04745799868989594
G6PD,TETRACAINE,True,0.04745799868989594
G6PD,PRIMAQUINE,True,0.04745799868989594
CACNA1H,PREGABALIN,True,0.04669391642118563
CACNA1H,SULOCTIDIL,True,0.04669391642118563
CACNA1H,BEPRIDIL HYDROCHLORIDE,True,0.04669391642118563
CACNA1H,PHLOROGLUCINOL,True,0.04669391642118563
E2F1,QUERCETIN,True,0.0455729363237761
G6PD,TRIAMCINOLONE,True,0.04539460744250916
