GeneID	GSM2069823	GSM2069824	GSM2069825	GSM2069826	GSM2069827	GSM2069828	GSM2069829	GSM2069830	GSM2069831	GSM2069832	GSM2069833	GSM2069834	GSM2069835	GSM2069836	GSM2069837	GSM2069838	GSM2069839	GSM2069840	GSM2069841	GSM2069842	GSM2069843	GSM2069844	GSM2069845	GSM2069846	GSM2069847	GSM2069848	GSM2069849	GSM2069850
80017	11.03	13.15	3.727	22.77	5.529	1.332	3.852	10.07	11.8	12.78	7.448	8.635	3.818	2.26	1.792	5.705	6.124	4.102	3.589	10.48	9.642	5.392	6.708	3.499	8.466	5.24	11.01	12.04
100124539	0	0	0	0	0	0	0.4438	0.3669	0	0.5676	0	0	0	0	0	0	0	0	0	0.2049	0	0	0	0	0.3691	0	0	0
8111	7.973	0.6039	0.4418	0.3386	0.7221	1.253	1.407	2.372	1.389	5.008	3.676	8.19	0.5176	0.5612	2.113	3.722	1.975	1.697	0.5157	1.983	1.695	27.91	1.285	2.913	19.73	0.7611	0.2525	2.066
440193	4.1	1.893	5.06	2.193	0.2721	0.1861	0.6342	1.33	0.8062	4.34	1.943	6.499	0.788	0.5822	0.9035	4.719	3.328	1.121	1.018	1.313	0.5317	4.431	4.505	1.173	0.56	1.954	0.8242	17.57
107984673	0.01524	0	0	0	0	0	0	0	0	0.4174	0.06936	0	0	0.03486	0	0.01456	0.02344	0.03839	0	0.0131	0	0.03569	0.01649	0.01831	0.0472	0.07945	0.06534	0.2799
105370624	0.3387	0.3104	0.1896	0.1231	0.02956	0.01018	0.1051	0.2173	0.07421	1.244	0.2997	0.4724	0.1111	0.2152	0.04235	0.4853	0.1737	0.1481	0.1083	0.1052	0.04344	0.3195	0.4377	0.09043	0.04371	0.1226	0.09076	0.9445
105370625	0.04897	0.2486	0.3949	0	0	0	0.0912	0	0.2575	0.05833	0	0.08336	0.1653	0	0.07349	0.1404	0.02511	0.1234	0.07513	0	0	0.05734	0.2119	0.05884	0	0.3192	0.0525	0.1199
55671	30.18	18.57	13.55	33.95	31.44	13.6	11.98	16.76	21.5	28.73	22.81	27.46	13.57	12.71	3.513	17.78	14.2	11.82	7.101	27.54	34.44	22.78	24.67	11.16	26.27	37.02	11.89	31.11
101928957	0	0.0115	0	0	0.03322	0	0	0.0279	0.06354	0.09713	0.05774	0	0.02294	0.01036	0	0	0	0.04566	0	0.007792	0	0.07427	0.009804	0.02178	0.01403	0	0.009714	0.02219
79820	0.05727	0.02076	0.07147	0	0.6513	0	0.07619	0.02519	0.3442	2.231	0.1043	0.006964	0.2417	0.03743	0.01842	0.02345	0.008391	0.2319	0	0.02814	0	1.772	0.08853	0.2654	0.01267	0.03199	0	0.0601
