Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Low-Density Lipoprotein Receptor Activity (GO:1905598),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,APP
GO_Biological_Process_2023,Negative Regulation Of Protein Sumoylation (GO:0033234),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,CTNNB1
GO_Biological_Process_2023,Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,MYC
GO_Biological_Process_2023,Angiotensin-Activated Signaling Pathway (GO:0038166),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,SRC
GO_Biological_Process_2023,Regulation Of Myosin-Light-Chain-Phosphatase Activity (GO:0035507),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,TNF
GO_Biological_Process_2023,Cellular Response To Interleukin-9 (GO:0071355),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,STAT3
GO_Biological_Process_2023,Cleavage Furrow Formation (GO:0036089),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,RHOA
GO_Biological_Process_2023,Detection Of Muscle Stretch (GO:0035995),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,CTNNB1
GO_Biological_Process_2023,Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,TNF
GO_Biological_Process_2023,Positive Regulation Of Gastrulation (GO:2000543),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,RACK1
GO_Biological_Process_2023,Positive Regulation Of Humoral Immune Response (GO:0002922),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,IL1B
GO_Biological_Process_2023,Positive Regulation Of Icosanoid Secretion (GO:0032305),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,IL1B
GO_Biological_Process_2023,Positive Regulation Of Kidney Development (GO:0090184),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,MYC
GO_Biological_Process_2023,Positive Regulation Of Lamellipodium Morphogenesis (GO:2000394),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,SRC
GO_Biological_Process_2023,Positive Regulation Of Membrane Depolarization (GO:1904181),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,RACK1
GO_Biological_Process_2023,Positive Regulation Of Pinocytosis (GO:0048549),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,CDC42
GO_Biological_Process_2023,Hyaluronan Biosynthetic Process (GO:0030213),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,IL1B
GO_Biological_Process_2023,Interleukin-9-Mediated Signaling Pathway (GO:0038113),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,STAT3
GO_Biological_Process_2023,Metanephric Nephron Tubule Development (GO:0072234),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,WNT7B
GO_Biological_Process_2023,Mitotic Nuclear Membrane Disassembly (GO:0007077),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,PLK1
GO_Biological_Process_2023,Regulation Of I-kappaB Phosphorylation (GO:1903719),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,TNF
GO_Biological_Process_2023,Regulation Of Adiponectin Secretion (GO:0070163),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,IL1B
GO_Biological_Process_2023,Negative Regulation Of Cardiocyte Differentiation (GO:1905208),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,EGFR
GO_Biological_Process_2023,Regulation Of Cell Adhesion Molecule Production (GO:0060353),1/6,0.0219982256466627,0.0556491616528479,0,0,54.57808219178082,208.31326833148967,IL1B
GO_Biological_Process_2023,Regulation Of Embryonic Development (GO:0045995),2/62,0.0221349386007329,0.0558055135619154,0,0,9.197222222222225,35.046916482830376,CDK1;FOXA2
GO_Biological_Process_2023,Fat Cell Differentiation (GO:0045444),2/62,0.0221349386007329,0.0558055135619154,0,0,9.197222222222225,35.046916482830376,MED1;EP300
GO_Biological_Process_2023,Regulation Of Macromolecule Metabolic Process (GO:0060255),3/162,0.0222412215214532,0.0558843508717797,0,0,5.25298963592878,19.991869384552704,APP;CDH1;MYC
GO_Biological_Process_2023,Protein Autophosphorylation (GO:0046777),3/162,0.0222412215214532,0.0558843508717797,0,0,5.25298963592878,19.991869384552704,SRC;AKT1;EGFR
