gene,drug,approved,interaction_score
CACNA1H,MIBEFRADIL DIHYDROCHLORIDE,True,0.1734345467072609
G6PD,GLIPIZIDE,True,0.1491537101682443
G6PD,TOLAZAMIDE,True,0.1491537101682443
G6PD,SUCCIMER,True,0.1491537101682443
E2F1,ARGIPRESSIN,True,0.1384716142145504
G6PD,MOXIFLOXACIN,True,0.1305094963972138
G6PD,TOLBUTAMIDE,True,0.1305094963972138
G6PD,GLIMEPIRIDE,True,0.1305094963972138
G6PD,NORFLOXACIN,True,0.1305094963972138
G6PD,QUININE,True,0.1204703043666589
G6PD,ATAZANAVIR,True,0.1160084412419678
CACNA1H,LAMOTRIGINE,True,0.1103674388137114
E2F1,DIETHYLSTILBESTROL,True,0.1090988475629791
G6PD,GLYBURIDE,True,0.1080078590873493
G6PD,GLICLAZIDE,True,0.104407597117771
G6PD,PRILOCAINE,True,0.09491599737979188
G6PD,CARMUSTINE,True,0.09491599737979188
G6PD,CHLORPROPAMIDE,True,0.09491599737979188
G6PD,CEFTRIAXONE,True,0.09491599737979188
G6PD,PROGESTIN,True,0.09491599737979188
G6PD,CIPROFLOXACIN,True,0.09491599737979188
E2F1,ETOPOSIDE,True,0.09311022335116324
G6PD,PERINDOPRIL,True,0.08700633093147589
G6PD,CHLOROPROCAINE,True,0.0803135362444393
G6PD,ASCORBIC ACID,True,0.0803135362444393
E2F1,NICOTINE POLACRILEX,True,0.07826656455605027
E2F1,ESTRADIOL VALERATE,True,0.07660131850166622
G6PD,METOCLOPRAMIDE HYDROCHLORIDE,True,0.07457685508412219
G6PD,MELOXICAM,True,0.06525474819860692
G6PD,SULFASALAZINE,True,0.06525474819860692
G6PD,MEPIVACAINE HYDROCHLORIDE,True,0.06525474819860692
G6PD,DABRAFENIB,True,0.05800422062098393
G6PD,VITAMIN K,True,0.05800422062098392
E2F1,IRINOTECAN HYDROCHLORIDE,True,0.05714701539013194
G6PD,BUSULFAN,True,0.05495136690409003
G6PD,FLUTAMIDE,True,0.05220379855888553
CACNA1H,ZONISAMIDE,True,0.04856167307803304
G6PD,DAPSONE,True,0.04745799868989594
G6PD,PROBENECID,True,0.04745799868989594
G6PD,PRIMAQUINE,True,0.04745799868989594
G6PD,TETRACAINE,True,0.04745799868989594
CACNA1H,BEPRIDIL HYDROCHLORIDE,True,0.04669391642118563
CACNA1H,PREGABALIN,True,0.04669391642118563
CACNA1H,PHLOROGLUCINOL,True,0.04669391642118563
CACNA1H,SULOCTIDIL,True,0.04669391642118563
E2F1,QUERCETIN,True,0.0455729363237761
G6PD,TRIAMCINOLONE,True,0.04539460744250916
CACNA1H,GABAPENTIN ENACARBIL,True,0.04496451210928986
G6PD,PROPRANOLOL HYDROCHLORIDE,True,0.04350316546573794
G6PD,OFLOXACIN,True,0.04350316546573794
E2F1,BORTEZOMIB,True,0.04235602317150955
G6PD,NITROGLYCERIN,True,0.04015676812221965
CACNA1H,TERODILINE HYDROCHLORIDE,True,0.03916263957905891
G6PD,PREDNISOLONE,True,0.03728842754206109
CACNA1H,CELECOXIB,True,0.03624005453584556
G6PD,DIAZEPAM,True,0.03600261969578312
CACNA1H,PIMOZIDE,True,0.03570711255737724
E2F1,METHOTREXATE,True,0.03272965426889375
E2F1,PACLITAXEL,True,0.03272965426889375
G6PD,CHLOROQUINE,True,0.03262737409930346
E2F1,FLUOROURACIL,True,0.03103674111705441
G6PD,LIDOCAINE,True,0.03070811679934443
G6PD,PIOGLITAZONE HYDROCHLORIDE,True,0.03070811679934443
G6PD,BUPIVACAINE,True,0.03070811679934443
CACNA1H,GABAPENTIN,True,0.03035104567377065
G6PD,HYDROXYCHLOROQUINE,True,0.02900211031049196
G6PD,PRASTERONE,True,0.02900211031049196
G6PD,OMEPRAZOLE,True,0.02821826949128948
G6PD,OXYMETAZOLINE HYDROCHLORIDE,True,0.02610189927944276
E2F1,CISPLATIN,True,0.02449157802434226
G6PD,MESALAMINE,True,0.02372899934494797
G6PD,ERYTHROMYCIN,True,0.02269730372125458
G6PD,TRAMETINIB DIMETHYL SULFOXIDE,True,0.0222143823654832
G6PD,SODIUM CHLORIDE,True,0.01864421377103054
G6PD,METHYLENE BLUE ANHYDROUS,True,0.01410913474564474
G6PD,EPINEPHRINE,True,0.01305094963972138
G6PD,CISPLATIN,True,0.007102557627059257
G6PD,DOXORUBICIN HYDROCHLORIDE,True,0.00705456737282237
