Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Metabolism R-HSA-1430728,12/2049,0.3136558335119577,0.3391763868948204,0,0,1.2096219931271477,1.4025070651814753,SLC5A8;CYP2A6;HSP90AA1;DDC;HSP90AB1;HPGD;TH;ALB;PTEN;AKT1;CYP4F8;PTGS2
Reactome_2022,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,1/76,0.3146626563027286,0.3393743832374978,0,0,2.697414965986394,3.1188972389470715,CDK1
Reactome_2022,SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,1/76,0.3146626563027286,0.3393743832374978,0,0,2.697414965986394,3.1188972389470715,CDKN2A
Reactome_2022,FCERI Mediated NF-kB Activation R-HSA-2871837,1/78,0.3214566150845788,0.3457966721014268,0,0,2.62708719851577,2.981462056839342,NFKB1
Reactome_2022,G Alpha (12/13) Signaling Events R-HSA-416482,1/78,0.3214566150845788,0.3457966721014268,0,0,2.62708719851577,2.981462056839342,RHOA
Reactome_2022,Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,1/79,0.3248285499837176,0.3489683509603433,0,0,2.5932757718472006,2.9160291027167355,NFKB1
Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,1/81,0.3315227364712461,0.3556962693389411,0,0,2.528188775510204,2.7912692807310164,AKT1
Reactome_2022,PI Metabolism R-HSA-1483255,1/82,0.3348451492584174,0.358793762014221,0,0,2.496850592088687,2.73177201105479,PTEN
Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,1/83,0.3381512151541468,0.3618657159571649,0,0,2.4662767546042805,2.674090416659631,MAPK3
Reactome_2022,RAC2 GTPase Cycle R-HSA-9013404,1/87,0.3512135969613066,0.3753566846901643,0,0,2.35109159943047,2.4600898570326124,CDC42
Reactome_2022,PCP/CE Pathway R-HSA-4086400,1/88,0.3544391152115018,0.3783132525055408,0,0,2.3239502697630776,2.4104446686187133,RHOA
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,1/89,0.3576487585509577,0.3797713621726664,0,0,2.297425788497217,2.3622221454976327,CD4
Reactome_2022,Interferon Gamma Signaling R-HSA-877300,1/89,0.3576487585509577,0.3797713621726664,0,0,2.297425788497217,2.3622221454976327,IFNG
Reactome_2022,RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,1/89,0.3576487585509577,0.3797713621726664,0,0,2.297425788497217,2.3622221454976327,AKT1
Reactome_2022,Unfolded Protein Response (UPR) R-HSA-381119,1/89,0.3576487585509577,0.3797713621726664,0,0,2.297425788497217,2.3622221454976327,HSPA5
Reactome_2022,Collagen Formation R-HSA-1474290,1/90,0.3608426043269181,0.3821777711637282,0,0,2.27149736299014,2.315367733821622,PXDN
Reactome_2022,Switching Of Origins To A Post-Replicative State R-HSA-69052,1/90,0.3608426043269181,0.3821777711637282,0,0,2.27149736299014,2.315367733821622,CDK2
Reactome_2022,HCMV Late Events R-HSA-9610379,1/91,0.3640207295484168,0.3850488846571187,0,0,2.246145124716554,2.269829520354966,H3C13
Reactome_2022,Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,1/92,0.3671832107677797,0.3878961098367314,0,0,2.2213500784929354,2.225558078777643,MSLN
Reactome_2022,RAC3 GTPase Cycle R-HSA-9013423,1/93,0.3703301241728348,0.3907196188456029,0,0,2.19709405501331,2.182506325224557,CDC42
Reactome_2022,Drug ADME R-HSA-9748784,1/95,0.3765775507485954,0.3968029434997988,0,0,2.150130264871906,2.0998844617159325,ALB
Reactome_2022,Hedgehog Off State R-HSA-5610787,1/98,0.3858338168827518,0.4060371201933429,0,0,2.083315800547023,1.9840427369076143,GSK3B
Reactome_2022,TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,1/100,0.3919289465238684,0.4119253213465148,0,0,2.0410224695938983,1.9117741389719496,TNF
Reactome_2022,Organelle Biogenesis And Maintenance R-HSA-1852241,2/275,0.3958901094650606,0.4155585352856178,0,0,1.4824213587100186,1.3736392152682757,HSP90AA1;CDK1
Reactome_2022,MHC Class II Antigen Presentation R-HSA-2132295,1/104,0.4039401343045305,0.4229309665399405,0,0,1.9613631860511191,1.77795335766201,CTSE
Reactome_2022,Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,1/104,0.4039401343045305,0.4229309665399405,0,0,1.9613631860511191,1.77795335766201,SLC5A8
Reactome_2022,HATs Acetylate Histones R-HSA-3214847,1/106,0.4098573516877627,0.4280386030300588,0,0,1.923809523809524,1.715934406782979,H3C13
Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,1/106,0.4098573516877627,0.4280386030300588,0,0,1.923809523809524,1.715934406782979,CDK1
Reactome_2022,O-linked Glycosylation R-HSA-5173105,1/107,0.4127941170677454,0.430559939827623,0,0,1.905564112437428,1.686055162619566,MUC2
Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,1/109,0.4186243157546825,0.4355384295225485,0,0,1.870086923658352,1.6284368765459123,CASP3
Reactome_2022,Signaling By B Cell Receptor (BCR) R-HSA-983705,1/109,0.4186243157546825,0.4355384295225485,0,0,1.870086923658352,1.6284368765459123,NFKB1
Reactome_2022,Synthesis Of DNA R-HSA-69239,1/119,0.4469267678153735,0.4643980538207664,0,0,1.7107402282947075,1.377762653839732,CDK2
Reactome_2022,Rab Regulation Of Trafficking R-HSA-9007101,1/122,0.4551483856003421,0.4723454278774331,0,0,1.6680721875527071,1.3129926485038452,AKT1
Reactome_2022,Host Interactions Of HIV Factors R-HSA-162909,1/130,0.476485915368248,0.4938671625955174,0,0,1.5639930390760957,1.159414807355212,CD4
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,2/327,0.4831908965105164,0.5001875612118915,0,0,1.2419349722442503,0.9033132953835814,CCL20;NPY1R
Reactome_2022,Signaling By Hedgehog R-HSA-5358351,1/135,0.489399606408169,0.505979015910077,0,0,1.505254340542187,1.075618523602017,GSK3B
Reactome_2022,Influenza Viral RNA Transcription And Replication R-HSA-168273,1/137,0.4944763372236363,0.5105870950780405,0,0,1.48296818727491,1.0443892155035843,HSP90AA1
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,1/143,0.5094086432764261,0.5253475870585421,0,0,1.4198764012647311,0.9577133756717252,MUC2
Reactome_2022,RHOA GTPase Cycle R-HSA-8980692,1/147,0.5191200859954508,0.5346936885753143,0,0,1.3806961140620633,0.9052120456892928,RHOA
Reactome_2022,CDC42 GTPase Cycle R-HSA-9013148,1/149,0.5239041978776239,0.5382756347271347,0,0,1.361900165471594,0.8803955134057883,CDC42
Reactome_2022,HIV Life Cycle R-HSA-162587,1/149,0.5239041978776239,0.5382756347271347,0,0,1.361900165471594,0.8803955134057883,CD4
Reactome_2022,Cellular Response To Starvation R-HSA-9711097,1/153,0.5333315220833812,0.5459194710518088,0,0,1.3257921589688506,0.8334089342440957,MTOR
Reactome_2022,G Alpha (S) Signaling Events R-HSA-418555,1/153,0.5333315220833812,0.5459194710518088,0,0,1.3257921589688506,0.8334089342440957,SRC
Reactome_2022,Metabolism Of Steroids R-HSA-8957322,1/153,0.5333315220833812,0.5459194710518088,0,0,1.3257921589688506,0.8334089342440957,ALB
Reactome_2022,Metabolism Of Amino Acids And Derivatives R-HSA-71291,2/364,0.540470849792329,0.552540918398113,0,0,1.112889445805092,0.6847770966862092,DDC;TH
Reactome_2022,Influenza Infection R-HSA-168255,1/157,0.5425740208037632,0.5540037089743505,0,0,1.2915358451072736,0.7896847420460786,HSP90AA1
Reactome_2022,Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,1/165,0.5605188219399583,0.5716182045526307,0,0,1.2280363364858138,0.7109009713882375,SRC
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,1/178,0.5882042085913648,0.5991103434849007,0,0,1.1370921249855874,0.6034332972475993,CDC42
Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,1/181,0.5943438143185709,0.6046164234549413,0,0,1.1179705215419502,0.5816770606995607,HSPA8
Reactome_2022,mRNA Splicing R-HSA-72172,1/189,0.6102766196965284,0.6200591055856219,0,0,1.0699630916196263,0.5283937292260591,HSPA8
Reactome_2022,Muscle Contraction R-HSA-397014,1/196,0.6237086396667608,0.6329260087258756,0,0,1.0311878597592885,0.4867948568293317,PXDN
Reactome_2022,Metabolism Of RNA R-HSA-8953854,3/666,0.6449660576152155,0.6536091661968583,0,0,0.9067684766214178,0.3976701954587052,HSPA8;MYC;AKT1
Reactome_2022,Phospholipid Metabolism R-HSA-1483257,1/208,0.6456770161216537,0.6536091661968583,0,0,0.9708173124322192,0.4246897371398425,PTEN
Reactome_2022,GPCR Ligand Binding R-HSA-500792,2/458,0.6656645595062648,0.6730154564824076,0,0,0.8792277084463737,0.3578187727308899,CCL20;NPY1R
Reactome_2022,HIV Infection R-HSA-162906,1/229,0.6811088272717328,0.6877863647940047,0,0,0.8804600787683494,0.3381258843545446,CD4
Reactome_2022,Mitotic Anaphase R-HSA-68882,1/232,0.6858754834586032,0.6917520175886034,0,0,0.8688930117501547,0.3276240854101059,CDK1
Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,1/233,0.6874486416504636,0.6924910522249169,0,0,0.865103800140746,0.324213355309391,CDK1
Reactome_2022,Neddylation R-HSA-8951664,1/237,0.6936636627250178,0.6978984836207749,0,0,0.8502680733310273,0.3110009136887185,HIF1A
Reactome_2022,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,1/242,0.7012606486648464,0.7046814323168701,0,0,0.8324159539334406,0.2954041419000209,HSPA8
Reactome_2022,Diseases Of Metabolism R-HSA-5668914,1/247,0.7086710883934894,0.7103953489491913,0,0,0.8152895304463249,0.2807561757477568,MUC2
Reactome_2022,SLC-mediated Transmembrane Transport R-HSA-425407,1/247,0.7086710883934894,0.7103953489491913,0,0,0.8152895304463249,0.2807561757477568,SLC5A8
Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,1/378,0.8494842638927342,0.8505164440432723,0,0,0.5284469225355924,0.0862033597627943,HSPA5
Reactome_2022,Transport Of Small Molecules R-HSA-382551,2/706,0.8689032399318811,0.8689032399318811,0,0,0.5622364104967198,0.0790074318117429,SLC5A8;ALB
